Date,Close
2020/5/28,3856.63
2020/5/29,3867.02
2020/6/1,3971.34
2020/6/2,3983.57
2020/6/3,3983.65
2020/6/4,3982.19
2020/6/5,4001.25
2020/6/8,4021.95
2020/6/9,4047.03
2020/6/10,4039.71
2020/6/11,3995.88
2020/6/12,4003.08
2020/6/15,3954.99
2020/6/16,4014.57
2020/6/17,4017.59
2020/6/18,4044.38
2020/6/19,4098.71
2020/6/22,4102.05
2020/6/23,4121.79
2020/6/24,4138.99
2020/6/29,4109.72
2020/6/30,4163.96
2020/7/1,4247.78
2020/7/2,4335.84
2020/7/3,4419.60
2020/7/6,4670.09
2020/7/7,4698.13
2020/7/8,4774.00
2020/7/9,4840.77
2020/7/10,4753.13
2020/7/13,4852.96
2020/7/14,4806.69
2020/7/15,4744.47
2020/7/16,4516.25
2020/7/17,4544.70
2020/7/20,4680.30
2020/7/21,4691.04
2020/7/22,4714.45
2020/7/23,4712.44
2020/7/24,4505.59
2020/7/27,4528.45
2020/7/28,4568.26
2020/7/29,4679.01
2020/7/30,4656.15
2020/7/31,4695.05
2020/8/3,4771.31
2020/8/4,4775.80
2020/8/5,4777.11
2020/8/6,4762.76
2020/8/7,4707.93
2020/8/10,4724.87
2020/8/11,4681.78
2020/8/12,4647.64
2020/8/13,4635.71
2020/8/14,4704.63
2020/8/17,4815.23
2020/8/18,4812.76
2020/8/19,4740.68
2020/8/20,4679.15
2020/8/21,4718.84
2020/8/24,4755.85
2020/8/25,4761.95
2020/8/26,4706.13
2020/8/27,4731.35
2020/8/28,4844.27
2020/8/31,4816.22
2020/9/1,4842.12
2020/9/2,4843.89
2020/9/3,4817.10
2020/9/4,4770.22
2020/9/7,4669.37
2020/9/8,4694.39
2020/9/9,4584.59
2020/9/10,4581.98
2020/9/11,4627.28
2020/9/14,4651.05
2020/9/15,4688.48
2020/9/16,4657.36
2020/9/17,4632.71
2020/9/18,4737.09
2020/9/21,4691.43
2020/9/22,4635.76
2020/9/23,4652.33
2020/9/24,4563.07
2020/9/25,4570.02
2020/9/28,4581.91
2020/9/29,4591.80
2020/9/30,4587.40
2020/10/9,4681.14
2020/10/12,4823.16
2020/10/13,4839.20
2020/10/14,4807.10
2020/10/15,4798.74
2020/10/16,4791.68
2020/10/19,4755.49
2020/10/20,4793.47
2020/10/21,4792.83
2020/10/22,4777.98
2020/10/23,4718.49
2020/10/26,4691.24
2020/10/27,4699.28
2020/10/28,4737.27
2020/10/29,4772.92
2020/10/30,4695.33
2020/11/2,4720.83
2020/11/3,4777.56
2020/11/4,4813.66
2020/11/5,4885.11
2020/11/6,4885.72
2020/11/9,4981.35
2020/11/10,4953.88
2020/11/11,4904.90
2020/11/12,4908.46
2020/11/13,4856.85
2020/11/16,4904.17
2020/11/17,4894.79
2020/11/18,4891.67
2020/11/19,4927.99
2020/11/20,4943.29
2020/11/23,5005.03
2020/11/24,4974.29
2020/11/25,4910.70
2020/11/26,4919.59
2020/11/27,4980.77
2020/11/30,4960.25
2020/12/1,5067.10
2020/12/2,5067.14
2020/12/3,5057.06
2020/12/4,5065.92
2020/12/7,5022.23
2020/12/8,5009.88
2020/12/9,4942.70
2020/12/10,4940.52
2020/12/11,4889.63
2020/12/14,4934.83
2020/12/15,4945.10
2020/12/16,4953.87
2020/12/17,5017.48
2020/12/18,4999.97
2020/12/21,5046.84
2020/12/22,4964.77
2020/12/23,5007.12
2020/12/24,5000.02
2020/12/25,5042.01
2020/12/28,5064.41
2020/12/29,5042.94
2020/12/30,5113.71
2020/12/31,5211.29
2021/1/4,5267.72
2021/1/5,5368.50
2021/1/6,5417.67
2021/1/7,5513.66
2021/1/8,5495.43
2021/1/11,5441.16
2021/1/12,5596.35
2021/1/13,5577.97
2021/1/14,5470.46
2021/1/15,5458.08
2021/1/18,5518.52
2021/1/19,5437.52
2021/1/20,5476.43
2021/1/21,5564.97
2021/1/22,5569.78
2021/1/25,5625.92
2021/1/26,5512.97
2021/1/27,5528.00
2021/1/28,5377.14
2021/1/29,5351.96
2021/2/1,5417.65
2021/2/2,5501.09
2021/2/3,5485.20
2021/2/4,5473.95
2021/2/5,5483.41
2021/2/8,5564.56
2021/2/9,5686.25
2021/2/10,5807.72
2021/2/18,5768.38
2021/2/19,5778.84
2021/2/22,5597.33
2021/2/23,5579.67
2021/2/24,5437.57
2021/2/25,5469.56
2021/2/26,5336.76
2021/3/1,5418.78
2021/3/2,5349.63
2021/3/3,5452.21
2021/3/4,5280.71
2021/3/5,5262.80
2021/3/8,5080.02
2021/3/9,4971.00
2021/3/10,5003.61
2021/3/11,5128.22
2021/3/12,5146.38
2021/3/15,5035.54
2021/3/16,5079.36
2021/3/17,5100.86
2021/3/18,5141.77
2021/3/19,5007.09
2021/3/22,5057.15
2021/3/23,5009.25
2021/3/24,4928.69
2021/3/25,4926.35
2021/3/26,5037.99
2021/3/29,5046.88
2021/3/30,5094.73
2021/3/31,5048.36
2021/4/1,5110.78
2021/4/2,5161.56
2021/4/6,5140.34
2021/4/7,5103.74
2021/4/8,5112.21
2021/4/9,5035.34
2021/4/12,4947.75
2021/4/13,4939.64
2021/4/14,4980.63
2021/4/15,4948.97
2021/4/16,4966.18
2021/4/19,5087.02
2021/4/20,5083.37
2021/4/21,5098.75
2021/4/22,5089.24
2021/4/23,5135.45
2021/4/26,5077.24
2021/4/27,5090.52
2021/4/28,5119.24
2021/4/29,5164.17
2021/4/30,5123.49
2021/5/6,5061.12
2021/5/7,4996.05
2021/5/10,4992.42
2021/5/11,5023.06
2021/5/12,5044.55
2021/5/13,4992.97
2021/5/14,5110.59
2021/5/17,5184.99
2021/5/18,5187.60
2021/5/19,5172.27
2021/5/20,5186.41
2021/5/21,5134.15
2021/5/24,5155.59
2021/5/25,5318.48
2021/5/26,5320.59
2021/5/27,5338.23
2021/5/28,5321.09
2021/5/31,5331.57
2021/6/1,5341.68
2021/6/2,5289.97
2021/6/3,5255.29
2021/6/4,5282.28
2021/6/7,5277.63
2021/6/8,5232.12
2021/6/9,5236.45
2021/6/10,5271.47
2021/6/11,5224.70
2021/6/15,5166.56
2021/6/16,5080.49
2021/6/17,5101.89
2021/6/18,5102.47
2021/6/21,5090.39
2021/6/22,5122.16
2021/6/23,5147.39
2021/6/24,5155.97
2021/6/25,5239.97
2021/6/28,5251.76
2021/6/29,5190.54
2021/6/30,5224.04
2021/7/1,5229.66
2021/7/2,5081.12
2021/7/5,5085.79
2021/7/6,5083.10
2021/7/7,5140.49
2021/7/8,5088.26
2021/7/9,5069.44
2021/7/12,5132.71
2021/7/13,5142.10
2021/7/14,5083.08
2021/7/15,5151.46
2021/7/16,5094.77
2021/7/19,5113.49
2021/7/20,5108.99
2021/7/21,5144.04
2021/7/22,5151.75
